"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1780","@Regression Reuse-Cookies","Chrome","2026-05-04","passed","2026-05-04","","LoginTest.spec.js","",""
"","1458","@Regression Reuse-Cookies","Google Chrome","2026-04-30","passed","2026-04-30","","LoginTest.spec.js","",""
